Run,Max_Training_In_Run_Normal,Max_Validation_In_Run_Normal,Max_Training_In_Run_Fine,Max_Validation_In_Run_Fine
0,0.5740740895271301,0.5769230723381042,1.0,0.7307692170143127
1,0.5648148059844971,0.6538461446762085,1.0,0.7307692170143127
2,0.5277777910232544,0.6153846383094788,1.0,0.7307692170143127
3,0.42592594027519226,0.42307692766189575,0.9907407164573669,0.692307710647583
4,0.5277777910232544,0.5384615659713745,1.0,0.692307710647583
5,0.4166666567325592,0.5,1.0,0.7692307829856873
6,0.35185185074806213,0.4615384638309479,1.0,0.7307692170143127
7,0.5462962985038757,0.5769230723381042,1.0,0.7307692170143127
8,0.42592594027519226,0.42307692766189575,1.0,0.7307692170143127
9,0.5092592835426331,0.6153846383094788,1.0,0.807692289352417
